n,cogram_point
0,14.5179196282622
1,20.6540449693679
2,25.4915082146255
3,29.7385103001516
4,33.6237930727426
5,37.2567417525478
6,40.7000036428374
7,43.9935272863023
8,47.1646901574003
9,50.2332543720567
10,53.2140563698376
11,56.1185828491126
12,58.9559503398586
13,61.7335434524194
14,64.4574470475184
15,67.1327483997478
16,69.7637542753516
17,72.3541505567573
18,74.907122014769
19,77.4254437824273
20,79.9115523171797
21,82.3676012220286
22,84.7955057069331
23,87.1969784021256
24,89.5735585003858
25,91.9266356914422
26,94.2574699861942
27,96.5672082645512
28,98.856898187481
29,101.12749997061
30,103.379896409254
31,105.614901463253
32,107.833267647585
33,110.035692426446
34,112.222823770858
35,114.395265010279
36,116.553579085243
37,118.698292289331
38,120.829897573795
39,122.948857475945
40,125.055606722602
41,127.150554551783
42,129.234086789173
43,131.30656771045
44,133.368341715957
45,135.41973484043
46,137.461056117291
47,139.492598814355
48,141.514641555508
49,143.527449341037
50,145.531274477617
51,147.526357427585
52,149.512927585963
53,151.491203992605
54,153.461395986022
55,155.423703804642
56,157.378319140588
57,159.325425650523
58,161.265199427562
59,163.197809437843
60,165.123417924953
61,167.042180785066
62,168.954247915364
63,170.859763538035
64,172.758866501921
65,174.65169056368
66,176.538364650153
67,178.419013103442
68,180.293755910094
69,182.162708915631
70,184.025984025557
71,185.883689393892
72,187.735929600146
73,189.582805815616
74,191.424415959767
75,193.260854847436
76,195.092214327484
77,196.918583413529
78,198.740048407282
79,200.556693015016
80,202.368598457615
81,204.175843574643
82,205.978504922826
83,207.776656869301
84,209.570371679991
85,211.359719603395
86,213.144768950085
87,214.925586168198
88,216.702235915133
89,218.474781125721
90,220.243283077048
91,222.007801450159
92,223.768394388797
93,225.525118555376
94,227.278029184331
95,229.027180132995
96,230.772623930155
97,232.514411822397
98,234.25259381838
99,235.987218731142
100,237.718334218544
101,239.445986821957
102,241.170222003285
103,242.8910841804
104,244.608616761091
105,246.322862175586
106,248.033861907727
107,249.741656524865
108,251.446285706543
109,253.147788272022
110,254.846202206704
111,256.541564687513
112,258.233912107286
113,259.923280098207
114,261.609703554344
115,263.293216653328
116,264.973852877208
117,266.651645032524
118,268.326625269633
119,269.998825101329
120,271.668275420772
121,273.335006518775
122,274.999048100468
123,276.660429301361
124,278.319178702848
125,279.975324347166
126,281.628893751823
127,283.279913923544
128,284.928411371724
129,286.574412121434
130,288.217941725983
131,289.859025279066
132,291.497687426498
133,293.133952377572
134,294.767843916038
135,296.399385410731
136,298.028599825854
137,299.65550973093
138,301.280137310442
139,302.902504373168
140,304.522632361222
141,306.140542358816
142,307.756255100751
143,309.369790980649
144,310.98117005893
145,312.590412070558
146,314.197536432543
147,315.802562251227
148,317.405508329352
149,319.006393172921
150,320.60523499786
151,322.202051736481
152,323.796861043766
153,325.38968030347
154,326.980526634043
155,328.569416894399
156,330.156367689507
157,331.741395375837
158,333.324516066655
159,334.905745637164
160,336.485099729514
161,338.062593757668
162,339.638242912144
163,341.212062164623
164,342.78406627244
165,344.354269782949
166,345.92268703778
167,347.48933217698
168,349.054219143049
169,350.617361684868
170,352.17877336153
171,353.738467546071
172,355.296457429106
173,356.852756022371
174,358.407376162185
175,359.960330512809
176,361.511631569743
177,363.061291662919
178,364.609322959835
179,366.1557374686
180,367.700547040909
181,369.243763374948
182,370.785398018228
183,372.325462370348
184,373.863967685697
185,375.400925076092
186,376.936345513349
187,378.4702398318
188,380.002618730748
189,381.533492776866
190,383.062872406541
191,384.590767928165
192,386.117189524373
193,387.642147254228
194,389.165651055364
195,390.687710746074
196,392.208336027351
197,393.727536484893
198,395.245321591051
199,396.761700706745
200,398.27668308333
201,399.79027786443
202,401.302494087724
203,402.813340686696
204,404.322826492354
205,405.830960234901
206,407.337750545383
207,408.843205957288
208,410.347334908129
209,411.850145740974
210,413.351646705964
211,414.851845961784
212,416.350751577112
213,417.848371532034
214,419.344713719438
215,420.839785946365
216,422.333595935352
217,423.826151325728
218,425.317459674901
219,426.807528459607
220,428.296365077143
221,429.78397684657
222,431.270371009895
223,432.755554733229
224,434.239535107923
225,435.72231915168
226,437.20391380965
227,438.684325955498
228,440.163562392458
229,441.641629854361
230,443.118535006648
231,444.594284447359
232,446.068884708109
233,447.542342255045
234,449.014663489777
235,450.485854750305
236,451.955922311917
237,453.424872388077
238,454.892711131297
239,456.359444633988
240,457.8250789293
241,459.289619991945
242,460.753073739009
243,462.215446030741
244,463.676742671337
245,465.136969409704
246,466.596131940214
247,468.05423590344
248,469.511286886888
249,470.967290425705
250,472.422252003384
251,473.876177052451
252,475.329070955141
253,476.780939044066
254,478.231786602869
255,479.681618866862
256,481.130441023664
257,482.57825821382
258,484.025075531408
259,485.470898024645
260,486.915730696474
261,488.359578505145
262,489.802446364787
263,491.244339145966
264,492.685261676242
265,494.125218740707
266,495.564215082523
267,497.002255403446
268,498.439344364341
269,499.875486585694
270,501.31068664811
271,502.744949092805
272,504.178278422092
273,505.610679099856
274,507.042155552024
275,508.472712167026
276,509.90235329625
277,511.33108325449
278,512.758906320383
279,514.185826736845
280,515.611848711499
281,517.036976417091
282,518.461213991905
283,519.884565540172
284,521.30703513247
285,522.728626806116
286,524.149344565559
287,525.569192382759
288,526.988174197569
289,528.406293918099
290,529.823555421091
291,531.23996255227
292,532.655519126707
293,534.070228929163
294,535.484095714435
295,536.8971232077
296,538.30931510484
297,539.720675072783
298,541.131206749817
299,542.540913745917
300,543.949799643058
301,545.357867995526
302,546.765122330225
303,548.171566146976
304,549.57720291882
305,550.982036092306
306,552.386069087783
307,553.789305299686
308,555.191748096812
309,556.593400822604
310,557.994266795419
311,559.394349308802
312,560.793651631745
313,562.192177008956
314,563.589928661113
315,564.986909785119
316,566.383123554357
317,567.778573118932
318,569.17326160592
319,570.567192119608
320,571.960367741728
321,573.3527915317
322,574.744466526853
323,576.135395742663
324,577.52558217297
325,578.915028790207
326,580.303738545615
327,581.69171436946
328,583.078959171247
329,584.465475839933
330,585.851267244129
331,587.236336232311
332,588.620685633021
333,590.004318255062
334,591.387236887703
335,592.769444300869
336,594.150943245332
337,595.531736452904
338,596.911826636624
339,598.291216490939
340,599.669908691891
341,601.047905897294
342,602.425210746913
343,603.80182586264
344,605.177753848668
345,606.552997291659
346,607.927558760915
347,609.301440808548
348,610.674645969639
349,612.047176762405
350,613.419035688356
351,614.79022523246
352,616.160747863294
353,617.530606033198
354,618.899802178436
355,620.268338719338
356,621.636218060455
357,623.003442590703
358,624.370014683511
359,625.735936696965
360,627.101210973946
