n,gram_point
0,9.66690805613019
1,17.8455995404109
2,23.1702827012463
3,27.6701822178163
4,31.7179799547641
5,35.4671842971002
6,38.9992099640261
7,42.3635503920573
8,45.5930289815035
9,48.7107766217933
10,51.7338428133461
11,54.6752374468533
12,57.5451651795473
13,60.3518119691324
14,63.1018679824001
15,65.8008876380508
16,68.4535449175227
17,71.0638190103333
18,73.6351322585718
19,76.1704546110812
20,78.6723840432776
21,81.1432093918248
22,83.5849600996784
23,85.9994460666576
24,88.388289916397
25,90.7529533774641
26,93.0947590439109
27,95.4149084705304
28,97.7144973326581
29,99.9945282142522
30,102.255921464083
31,104.499524466404
32,106.726119601228
33,108.936431114533
34,111.131131076107
35,113.310844569445
36,115.476154231757
37,117.627604241252
38,119.76570383209
39,121.890930403911
40,124.00373228189
41,126.104531174346
42,128.193724367626
43,130.271686691923
44,132.338772286714
45,134.395316190337
46,136.441635774736
47,138.478032043511
48,140.504790808913
49,142.522183761377
50,144.530469443387
51,146.529894137994
52,148.520692680965
53,150.503089204508
54,152.477297819492
55,154.443523242306
56,156.401961371787
57,158.352799820996
58,160.296218408121
59,162.232389610296
60,164.161478983724
61,166.08364555312
62,167.999042173187
63,169.907815864553
64,171.810108126349
65,173.706055227393
66,175.595788477751
67,177.479434482285
68,179.357115377616
69,181.228949053832
70,183.095049362122
71,184.955526309426
72,186.810486241072
73,188.660032012316
74,190.504263149579
75,192.343276002163
76,194.177163885091
77,196.006017213737
78,197.829923630789
79,199.648968126092
80,201.463233149853
81,203.272798719644
82,205.077742521634
83,206.878140006413
84,208.674064479757
85,210.465587188676
86,212.252777403028
87,214.035702492971
88,215.814428002538
89,217.589017719537
90,219.359533742022
91,221.126036541535
92,222.888585023305
93,224.647236583581
94,226.402047164277
95,228.153071305066
96,229.900362193078
97,231.64397171034
98,233.383950479066
99,235.120347904935
100,236.853212218451
101,238.582590514503
102,240.3085287902
103,242.031071981096
104,243.750263995869
105,245.466147749549
106,247.178765195353
107,248.88815735522
108,250.594364349085
109,252.297425422979
110,253.997378975997
111,255.694262586193
112,257.388113035459
113,259.078966333432
114,260.766857740478
115,262.451821789788
116,264.133892308646
117,265.813102438881
118,267.489484656575
119,269.163070791018
120,270.833892042987
121,272.501979002347
122,274.167361665025
123,275.830069449368
124,277.490131211925
125,279.147575262676
126,280.80242937972
127,282.454720823462
128,284.104476350308
129,285.751722225893
130,287.396484237865
131,289.038787708233
132,290.678657505307
133,292.316118055248
134,293.951193353226
135,295.583906974228
136,297.214282083508
137,298.842341446704
138,300.468107439634
139,302.091602057781
140,303.712846925478
141,305.33186330481
142,306.948672104238
143,308.563293886961
144,310.175748879018
145,311.786056977147
146,313.394237756412
147,315.000310477592
148,316.604294094358
149,318.206207260239
150,319.806068335377
151,321.403895393096
152,322.999706226269
153,324.593518353513
154,326.185349025199
155,327.7752152293
156,329.363133697068
157,330.949120908551
158,332.533193097965
159,334.115366258909
160,335.695656149444
161,337.274078297025
162,338.850648003309
163,340.425380348828
164,341.998290197534
165,343.569392201234
166,345.138700803895
167,346.706230245844
168,348.271994567858
169,349.836007615142
170,351.398283041211
171,352.958834311669
172,354.517674707892
173,356.074817330618
174,357.630275103449
175,359.184060776259
176,360.736186928523
177,362.286665972561
178,363.835510156702
179,365.382731568374
180,366.92834213711
181,368.472353637494
182,370.014777692024
183,371.555625773912
184,373.094909209819
185,374.632639182524
186,376.168826733524
187,377.703482765582
188,379.236618045214
189,380.76824320511
190,382.298368746511
191,383.827005041523
192,385.354162335384
193,386.879850748671
194,388.40408027947
195,389.926860805485
196,391.448202086106
197,392.968113764433
198,394.486605369248
199,396.00368631695
200,397.519365913446
201,399.033653355999
202,400.546557735038
203,402.05808803593
204,403.568253140708
205,405.077061829771
206,406.584522783539
207,408.090644584082
208,409.595435716704
209,411.098904571506
210,412.601059444907
211,414.101908541135
212,415.601459973694
213,417.09972176679
214,418.596701856739
215,420.092408093337
216,421.586848241208
217,423.080029981123
218,424.571960911293
219,426.062648548633
220,427.55210033001
221,429.040323613452
222,430.527325679348
223,432.013113731613
224,433.497694898837
225,434.981076235409
226,436.463264722621
227,437.944267269748
228,439.42409071511
229,440.902741827111
230,442.380227305261
231,443.856553781179
232,445.331727819572
233,446.805755919202
234,448.278644513831
235,449.750399973152
236,451.221028603695
237,452.690536649728
238,454.158930294131
239,455.626215659258
240,457.092398807786
241,458.557485743547
242,460.021482412336
243,461.484394702725
244,462.946228446838
245,464.406989421132
246,465.866683347153
247,467.325315892283
248,468.78289267047
249,470.239419242954
250,471.694901118967
251,473.149343756433
252,474.602752562649
253,476.055132894957
254,477.506490061401
255,478.95682932138
256,480.406155886282
257,481.854474920111
258,483.301791540103
259,484.748110817332
260,486.193437777304
261,487.637777400544
262,489.08113462317
263,490.52351433746
264,491.96492139241
265,493.405360594276
266,494.844836707122
267,496.28335445334
268,497.720918514176
269,499.157533530244
270,500.593204102026
271,502.027934790372
272,503.461730116987
273,504.89459456491
274,506.326532578989
275,507.757548566346
276,509.187646896833
277,510.616831903486
278,512.045107882965
279,513.472479095994
280,514.898949767789
281,516.324524088482
282,517.749206213537
283,519.173000264162
284,520.59591032771
285,522.01794045808
286,523.439094676108
287,524.85937696995
288,526.278791295466
289,527.697341576592
290,529.115031705707
291,530.531865544001
292,531.947846921828
293,533.362979639059
294,534.777267465433
295,536.190714140893
296,537.603323375928
297,539.015098851901
298,540.42604422138
299,541.836163108457
300,543.245459109069
301,544.653935791306
302,546.061596695726
303,547.468445335655
304,548.874485197485
305,550.279719740975
306,551.68415239954
307,553.087786580534
